Signal Legend:

Key        Signal Name

0        = debug_num1[6..0]
1        = KEY[2]
2        = HEX5[6..0]
3        = HEX4[6..0]
4        = HEX4[6]
5        = HEX4[5]
6        = HEX4[4]
7        = HEX4[3]
8        = HEX4[2]
9        = HEX4[1]
10       = HEX4[0]

Data Table:

Signals-> 0   1 2   3   4 5 6 7 8 9 10 

sample

-921      00h 0 40h 02h 0 0 0 0 0 1 0  
-920      00h 0 40h 02h 0 0 0 0 0 1 0  
-919      00h 0 40h 02h 0 0 0 0 0 1 0  
-918      00h 0 40h 02h 0 0 0 0 0 1 0  
-917      00h 0 40h 02h 0 0 0 0 0 1 0  
-916      00h 0 40h 02h 0 0 0 0 0 1 0  
-915      00h 0 40h 02h 0 0 0 0 0 1 0  
-914      00h 0 40h 02h 0 0 0 0 0 1 0  
-913      00h 0 40h 02h 0 0 0 0 0 1 0  
-912      00h 0 40h 02h 0 0 0 0 0 1 0  
-911      00h 0 40h 02h 0 0 0 0 0 1 0  
-910      00h 0 40h 02h 0 0 0 0 0 1 0  
-909      00h 0 40h 02h 0 0 0 0 0 1 0  
-908      00h 0 40h 02h 0 0 0 0 0 1 0  
-907      00h 0 40h 02h 0 0 0 0 0 1 0  
-906      00h 0 40h 02h 0 0 0 0 0 1 0  
-905      00h 0 40h 02h 0 0 0 0 0 1 0  
-904      00h 0 40h 02h 0 0 0 0 0 1 0  
-903      00h 0 40h 02h 0 0 0 0 0 1 0  
-902      00h 0 40h 02h 0 0 0 0 0 1 0  
-901      00h 0 40h 02h 0 0 0 0 0 1 0  
-900      00h 0 40h 02h 0 0 0 0 0 1 0  
-899      00h 0 40h 02h 0 0 0 0 0 1 0  
-898      00h 0 40h 02h 0 0 0 0 0 1 0  
-897      00h 0 40h 02h 0 0 0 0 0 1 0  
-896      00h 0 40h 02h 0 0 0 0 0 1 0  
-895      00h 0 40h 02h 0 0 0 0 0 1 0  
-894      00h 0 40h 02h 0 0 0 0 0 1 0  
-893      00h 0 40h 02h 0 0 0 0 0 1 0  
-892      00h 0 40h 02h 0 0 0 0 0 1 0  
-891      00h 0 40h 02h 0 0 0 0 0 1 0  
-890      00h 0 40h 02h 0 0 0 0 0 1 0  
-889      00h 0 40h 02h 0 0 0 0 0 1 0  
-888      00h 0 40h 02h 0 0 0 0 0 1 0  
-887      00h 0 40h 02h 0 0 0 0 0 1 0  
-886      00h 0 40h 02h 0 0 0 0 0 1 0  
-885      00h 0 40h 02h 0 0 0 0 0 1 0  
-884      00h 0 40h 02h 0 0 0 0 0 1 0  
-883      00h 0 40h 02h 0 0 0 0 0 1 0  
-882      00h 0 40h 02h 0 0 0 0 0 1 0  
-881      00h 0 40h 02h 0 0 0 0 0 1 0  
-880      00h 0 40h 02h 0 0 0 0 0 1 0  
-879      00h 0 40h 02h 0 0 0 0 0 1 0  
-878      00h 0 40h 02h 0 0 0 0 0 1 0  
-877      00h 0 40h 02h 0 0 0 0 0 1 0  
-876      00h 0 40h 02h 0 0 0 0 0 1 0  
-875      00h 0 40h 02h 0 0 0 0 0 1 0  
-874      00h 0 40h 02h 0 0 0 0 0 1 0  
-873      00h 0 40h 02h 0 0 0 0 0 1 0  
-872      00h 0 40h 02h 0 0 0 0 0 1 0  
-871      00h 0 40h 02h 0 0 0 0 0 1 0  
-870      00h 0 40h 02h 0 0 0 0 0 1 0  
-869      00h 0 40h 02h 0 0 0 0 0 1 0  
-868      00h 0 40h 02h 0 0 0 0 0 1 0  
-867      00h 0 40h 02h 0 0 0 0 0 1 0  
-866      00h 0 40h 02h 0 0 0 0 0 1 0  
-865      00h 0 40h 02h 0 0 0 0 0 1 0  
-864      00h 0 40h 02h 0 0 0 0 0 1 0  
-863      00h 0 40h 02h 0 0 0 0 0 1 0  
-862      00h 0 40h 02h 0 0 0 0 0 1 0  
-861      00h 0 40h 02h 0 0 0 0 0 1 0  
-860      00h 0 40h 02h 0 0 0 0 0 1 0  
-859      00h 0 40h 02h 0 0 0 0 0 1 0  
-858      00h 0 40h 02h 0 0 0 0 0 1 0  
-857      00h 0 40h 02h 0 0 0 0 0 1 0  
-856      00h 0 40h 02h 0 0 0 0 0 1 0  
-855      00h 0 40h 02h 0 0 0 0 0 1 0  
-854      00h 0 40h 02h 0 0 0 0 0 1 0  
-853      00h 0 40h 02h 0 0 0 0 0 1 0  
-852      00h 0 40h 02h 0 0 0 0 0 1 0  
-851      00h 0 40h 02h 0 0 0 0 0 1 0  
-850      00h 0 40h 02h 0 0 0 0 0 1 0  
-849      00h 0 40h 02h 0 0 0 0 0 1 0  
-848      00h 0 40h 02h 0 0 0 0 0 1 0  
-847      00h 0 40h 02h 0 0 0 0 0 1 0  
-846      00h 0 40h 02h 0 0 0 0 0 1 0  
-845      00h 0 40h 02h 0 0 0 0 0 1 0  
-844      00h 0 40h 02h 0 0 0 0 0 1 0  
-843      00h 0 40h 02h 0 0 0 0 0 1 0  
-842      00h 0 40h 02h 0 0 0 0 0 1 0  
-841      00h 0 40h 02h 0 0 0 0 0 1 0  
-840      00h 0 40h 02h 0 0 0 0 0 1 0  
-839      00h 0 40h 02h 0 0 0 0 0 1 0  
-838      00h 0 40h 02h 0 0 0 0 0 1 0  
-837      00h 0 40h 02h 0 0 0 0 0 1 0  
-836      00h 0 40h 02h 0 0 0 0 0 1 0  
-835      00h 0 40h 02h 0 0 0 0 0 1 0  
-834      00h 0 40h 02h 0 0 0 0 0 1 0  
-833      00h 0 40h 02h 0 0 0 0 0 1 0  
-832      00h 0 40h 02h 0 0 0 0 0 1 0  
-831      00h 0 40h 02h 0 0 0 0 0 1 0  
-830      00h 0 40h 02h 0 0 0 0 0 1 0  
-829      00h 0 40h 02h 0 0 0 0 0 1 0  
-828      00h 0 40h 02h 0 0 0 0 0 1 0  
-827      00h 0 40h 02h 0 0 0 0 0 1 0  
-826      00h 0 40h 02h 0 0 0 0 0 1 0  
-825      00h 0 40h 02h 0 0 0 0 0 1 0  
-824      00h 0 40h 02h 0 0 0 0 0 1 0  
-823      00h 0 40h 02h 0 0 0 0 0 1 0  
-822      00h 0 40h 02h 0 0 0 0 0 1 0  
-821      00h 0 40h 02h 0 0 0 0 0 1 0  
-820      00h 0 40h 02h 0 0 0 0 0 1 0  
-819      00h 0 40h 02h 0 0 0 0 0 1 0  
-818      00h 0 40h 02h 0 0 0 0 0 1 0  
-817      00h 0 40h 02h 0 0 0 0 0 1 0  
-816      00h 0 40h 02h 0 0 0 0 0 1 0  
-815      00h 0 40h 02h 0 0 0 0 0 1 0  
-814      00h 0 40h 02h 0 0 0 0 0 1 0  
-813      00h 0 40h 02h 0 0 0 0 0 1 0  
-812      00h 0 40h 02h 0 0 0 0 0 1 0  
-811      00h 0 40h 02h 0 0 0 0 0 1 0  
-810      00h 0 40h 02h 0 0 0 0 0 1 0  
-809      00h 0 40h 02h 0 0 0 0 0 1 0  
-808      00h 0 40h 02h 0 0 0 0 0 1 0  
-807      00h 0 40h 02h 0 0 0 0 0 1 0  
-806      00h 0 40h 02h 0 0 0 0 0 1 0  
-805      00h 0 40h 02h 0 0 0 0 0 1 0  
-804      00h 0 40h 02h 0 0 0 0 0 1 0  
-803      00h 0 40h 02h 0 0 0 0 0 1 0  
-802      00h 0 40h 02h 0 0 0 0 0 1 0  
-801      00h 0 40h 02h 0 0 0 0 0 1 0  
-800      00h 0 40h 02h 0 0 0 0 0 1 0  
-799      00h 0 40h 02h 0 0 0 0 0 1 0  
-798      00h 0 40h 02h 0 0 0 0 0 1 0  
-797      00h 0 40h 02h 0 0 0 0 0 1 0  
-796      00h 0 40h 02h 0 0 0 0 0 1 0  
-795      00h 0 40h 02h 0 0 0 0 0 1 0  
-794      00h 0 40h 02h 0 0 0 0 0 1 0  
-793      00h 0 40h 02h 0 0 0 0 0 1 0  
-792      00h 0 40h 02h 0 0 0 0 0 1 0  
-791      00h 0 40h 02h 0 0 0 0 0 1 0  
-790      00h 0 40h 02h 0 0 0 0 0 1 0  
-789      00h 0 40h 02h 0 0 0 0 0 1 0  
-788      00h 0 40h 02h 0 0 0 0 0 1 0  
-787      00h 0 40h 02h 0 0 0 0 0 1 0  
-786      00h 0 40h 02h 0 0 0 0 0 1 0  
-785      00h 0 40h 02h 0 0 0 0 0 1 0  
-784      00h 0 40h 02h 0 0 0 0 0 1 0  
-783      00h 0 40h 02h 0 0 0 0 0 1 0  
-782      00h 0 40h 02h 0 0 0 0 0 1 0  
-781      00h 0 40h 02h 0 0 0 0 0 1 0  
-780      00h 0 40h 02h 0 0 0 0 0 1 0  
-779      00h 0 40h 02h 0 0 0 0 0 1 0  
-778      00h 0 40h 02h 0 0 0 0 0 1 0  
-777      00h 0 40h 02h 0 0 0 0 0 1 0  
-776      00h 0 40h 02h 0 0 0 0 0 1 0  
-775      00h 0 40h 02h 0 0 0 0 0 1 0  
-774      00h 0 40h 02h 0 0 0 0 0 1 0  
-773      00h 0 40h 02h 0 0 0 0 0 1 0  
-772      00h 0 40h 02h 0 0 0 0 0 1 0  
-771      00h 0 40h 02h 0 0 0 0 0 1 0  
-770      00h 0 40h 02h 0 0 0 0 0 1 0  
-769      00h 0 40h 02h 0 0 0 0 0 1 0  
-768      00h 0 40h 02h 0 0 0 0 0 1 0  
-767      00h 0 40h 02h 0 0 0 0 0 1 0  
-766      00h 0 40h 02h 0 0 0 0 0 1 0  
-765      00h 0 40h 02h 0 0 0 0 0 1 0  
-764      00h 0 40h 02h 0 0 0 0 0 1 0  
-763      00h 0 40h 02h 0 0 0 0 0 1 0  
-762      00h 0 40h 02h 0 0 0 0 0 1 0  
-761      00h 0 40h 02h 0 0 0 0 0 1 0  
-760      00h 0 40h 02h 0 0 0 0 0 1 0  
-759      00h 0 40h 02h 0 0 0 0 0 1 0  
-758      00h 0 40h 02h 0 0 0 0 0 1 0  
-757      00h 0 40h 02h 0 0 0 0 0 1 0  
-756      00h 0 40h 02h 0 0 0 0 0 1 0  
-755      00h 0 40h 02h 0 0 0 0 0 1 0  
-754      00h 0 40h 02h 0 0 0 0 0 1 0  
-753      00h 0 40h 02h 0 0 0 0 0 1 0  
-752      00h 0 40h 02h 0 0 0 0 0 1 0  
-751      00h 0 40h 02h 0 0 0 0 0 1 0  
-750      00h 0 40h 02h 0 0 0 0 0 1 0  
-749      00h 0 40h 02h 0 0 0 0 0 1 0  
-748      00h 0 40h 02h 0 0 0 0 0 1 0  
-747      00h 0 40h 02h 0 0 0 0 0 1 0  
-746      00h 0 40h 02h 0 0 0 0 0 1 0  
-745      00h 0 40h 02h 0 0 0 0 0 1 0  
-744      00h 0 40h 02h 0 0 0 0 0 1 0  
-743      00h 0 40h 02h 0 0 0 0 0 1 0  
-742      00h 0 40h 02h 0 0 0 0 0 1 0  
-741      00h 0 40h 02h 0 0 0 0 0 1 0  
-740      00h 0 40h 02h 0 0 0 0 0 1 0  
-739      00h 0 40h 02h 0 0 0 0 0 1 0  
-738      00h 0 40h 02h 0 0 0 0 0 1 0  
-737      00h 0 40h 02h 0 0 0 0 0 1 0  
-736      00h 0 40h 02h 0 0 0 0 0 1 0  
-735      00h 0 40h 02h 0 0 0 0 0 1 0  
-734      00h 0 40h 02h 0 0 0 0 0 1 0  
-733      00h 0 40h 02h 0 0 0 0 0 1 0  
-732      00h 0 40h 02h 0 0 0 0 0 1 0  
-731      00h 0 40h 02h 0 0 0 0 0 1 0  
-730      00h 0 40h 02h 0 0 0 0 0 1 0  
-729      00h 0 40h 02h 0 0 0 0 0 1 0  
-728      00h 0 40h 02h 0 0 0 0 0 1 0  
-727      00h 0 40h 02h 0 0 0 0 0 1 0  
-726      00h 0 40h 02h 0 0 0 0 0 1 0  
-725      00h 0 40h 02h 0 0 0 0 0 1 0  
-724      00h 0 40h 02h 0 0 0 0 0 1 0  
-723      00h 0 40h 02h 0 0 0 0 0 1 0  
-722      00h 0 40h 02h 0 0 0 0 0 1 0  
-721      00h 0 40h 02h 0 0 0 0 0 1 0  
-720      00h 0 40h 02h 0 0 0 0 0 1 0  
-719      00h 0 40h 02h 0 0 0 0 0 1 0  
-718      00h 0 40h 02h 0 0 0 0 0 1 0  
-717      00h 0 40h 02h 0 0 0 0 0 1 0  
-716      00h 0 40h 02h 0 0 0 0 0 1 0  
-715      00h 0 40h 02h 0 0 0 0 0 1 0  
-714      00h 0 40h 02h 0 0 0 0 0 1 0  
-713      00h 0 40h 02h 0 0 0 0 0 1 0  
-712      00h 0 40h 02h 0 0 0 0 0 1 0  
-711      00h 0 40h 02h 0 0 0 0 0 1 0  
-710      00h 0 40h 02h 0 0 0 0 0 1 0  
